chainage_m,x_utm45,y_utm45,lon,lat,elev_m
0,354347.8,3128103.6,85.51499,28.27088,5622.4
42,354317.8,3128133.6,85.51468,28.27115,5562.7
85,354287.8,3128163.6,85.51437,28.27141,5481.8
127,354257.8,3128193.6,85.51406,28.27168,5373.2
170,354227.8,3128223.6,85.51375,28.27195,5284.8
212,354197.8,3128253.6,85.51344,28.27221,5169.2
255,354167.8,3128283.6,85.51313,28.27248,5049.3
297,354137.8,3128313.6,85.51282,28.27275,4968.7
339,354107.8,3128343.6,85.51251,28.27302,4910.8
382,354077.8,3128373.6,85.51220,28.27328,4863.2
424,354047.8,3128403.6,85.51190,28.27355,4827.7
467,354017.8,3128433.6,85.51159,28.27382,4796.8
497,354017.8,3128463.6,85.51158,28.27409,4773.9
527,354017.8,3128493.6,85.51158,28.27436,4750.6
569,353987.8,3128523.6,85.51127,28.27463,4725.8
599,353987.8,3128553.6,85.51126,28.27490,4703.8
642,354017.8,3128583.6,85.51157,28.27517,4684.1
684,353987.8,3128613.6,85.51126,28.27544,4660.5
714,353987.8,3128643.6,85.51125,28.27571,4636.8
744,353987.8,3128673.6,85.51125,28.27598,4618.0
774,353987.8,3128703.6,85.51125,28.27625,4599.7
816,353957.8,3128733.6,85.51094,28.27652,4575.9
846,353957.8,3128763.6,85.51093,28.27679,4548.9
889,353987.8,3128793.6,85.51123,28.27706,4519.5
931,354017.8,3128823.6,85.51154,28.27734,4481.2
974,354047.8,3128853.6,85.51184,28.27761,4448.6
1016,354077.8,3128883.6,85.51214,28.27789,4420.9
1059,354107.8,3128913.6,85.51244,28.27816,4400.7
1101,354137.8,3128943.6,85.51274,28.27843,4374.7
1143,354167.8,3128973.6,85.51305,28.27871,4351.5
1186,354197.8,3129003.6,85.51335,28.27898,4334.0
1228,354227.8,3129033.6,85.51365,28.27926,4311.1
1258,354227.8,3129063.6,85.51365,28.27953,4290.3
1288,354227.8,3129093.6,85.51364,28.27980,4274.2
1318,354227.8,3129123.6,85.51364,28.28007,4258.9
1348,354227.8,3129153.6,85.51364,28.28034,4244.4
1391,354197.8,3129183.6,85.51333,28.28061,4222.9
1421,354197.8,3129213.6,85.51332,28.28088,4205.5
1451,354197.8,3129243.6,85.51332,28.28115,4188.1
1481,354197.8,3129273.6,85.51332,28.28142,4168.1
1523,354227.8,3129303.6,85.51362,28.28169,4153.8
1553,354227.8,3129333.6,85.51361,28.28196,4138.3
1596,354257.8,3129363.6,85.51392,28.28224,4122.5
1626,354257.8,3129393.6,85.51391,28.28251,4109.9
1668,354287.8,3129423.6,85.51421,28.28278,4098.8
1710,354317.8,3129453.6,85.51452,28.28306,4087.9
1753,354347.8,3129483.6,85.51482,28.28333,4074.5
