x,y,chainage_m,dist_m,dh_m,reliability
339773,3126341,27551,201,-2.93,35
339653,3126101,27696,95,4.03,26
338333,3125981,28797,935,-0.21,53
338453,3125981,28797,855,-0.48,48
343973,3125981,25097,3820,0.80,30
344093,3125981,25097,3921,25.47,35
342653,3125861,26016,2789,0.45,48
342773,3125861,26016,2892,0.10,53
342893,3125861,26016,2996,-3.53,25
343733,3125861,25399,3679,0.38,34
337613,3125741,29099,1395,-0.73,26
342773,3125741,26016,2955,0.42,37
343133,3125741,25399,3260,0.22,71
343253,3125741,25399,3354,0.02,26
343373,3125741,25399,3449,0.04,29
343613,3125741,25399,3645,0.22,58
336773,3125621,29099,2136,-0.41,35
337493,3125621,29099,1452,-0.84,40
337613,3125621,29099,1342,-0.18,60
338333,3125621,28797,724,-0.20,25
342533,3125621,26016,2825,0.45,35
343133,3125621,26016,3324,0.07,33
343373,3125621,25399,3523,-7.37,64
343613,3125621,25399,3714,0.15,40
343973,3125621,25399,4011,0.26,66
337013,3125501,29099,1874,-0.67,30
337373,3125501,29099,1526,-0.37,37
339413,3125501,28288,130,-0.37,41
340013,3125501,27973,600,-0.52,26
341813,3125501,27551,2308,0.15,43
341933,3125501,27551,2422,-0.05,49
343253,3125501,26016,3489,0.45,35
343613,3125501,25399,3786,0.19,67
343853,3125501,25399,3979,0.39,58
343973,3125501,25399,4077,0.52,71
335213,3125381,29099,3638,-0.65,73
335333,3125381,29099,3519,-0.88,75
335573,3125381,29099,3280,-0.50,32
337733,3125381,29099,1147,-0.23,42
337853,3125381,29099,1032,-0.41,35
338813,3125381,28797,188,-0.40,70
339053,3125381,28627,56,-0.57,26
339173,3125381,28627,65,-0.14,31
341933,3125381,27973,2451,0.11,57
342053,3125381,27973,2569,-0.01,30
342413,3125381,26016,2886,0.14,64
342773,3125381,26016,3162,0.39,59
332573,3125261,29099,6268,-0.89,62
332813,3125261,29099,6028,-0.89,68
332933,3125261,29099,5908,-12.19,49
333053,3125261,29099,5788,-0.87,70
334493,3125261,29099,4349,-0.84,68
334613,3125261,29099,4229,24.60,37
334853,3125261,29099,3990,9.22,33
335213,3125261,29099,3630,-0.86,77
335333,3125261,29099,3510,-0.82,73
335573,3125261,29099,3270,-0.55,57
335693,3125261,29099,3151,-0.51,47
335813,3125261,29099,3031,-0.87,36
336293,3125261,29099,2552,-0.52,76
337133,3125261,29099,1715,-0.01,36
337373,3125261,29099,1477,-0.20,45
337733,3125261,29099,1121,-0.97,26
338693,3125261,29099,237,10.62,38
338813,3125261,28942,133,-0.24,56
339413,3125261,28458,297,-0.36,41
343613,3125261,26016,3921,6.68,29
343733,3125261,26016,4024,0.50,60
343853,3125261,25399,4122,0.55,62
343973,3125261,25399,4217,-6.83,29
334133,3125141,29099,4706,-1.07,59
334493,3125141,29099,4346,-1.04,51
334733,3125141,29099,4106,-0.52,38
334853,3125141,29099,3986,-0.49,28
334973,3125141,29099,3866,-0.69,26
335093,3125141,29099,3746,-0.68,27
335333,3125141,29099,3506,-0.88,58
335453,3125141,29099,3386,-0.64,45
336293,3125141,29099,2546,-9.04,64
336653,3125141,29099,2186,-20.07,42
337973,3125141,29099,868,-0.54,57
342413,3125141,27973,2972,0.56,36
342653,3125141,27973,3205,-0.06,49
343853,3125141,26016,4189,0.58,57
343973,3125141,25399,4291,0.30,57
333053,3125021,29099,5785,-1.11,49
333293,3125021,29099,5545,-1.28,26
333773,3125021,29099,5065,-8.41,54
334133,3125021,29099,4705,-0.79,66
334373,3125021,29099,4465,-0.70,78
335093,3125021,29099,3745,-0.96,64
335213,3125021,29099,3626,-0.76,43
335573,3125021,29099,3266,-0.60,52
337253,3125021,29099,1586,-0.40,39
337493,3125021,29099,1346,-0.39,26
339293,3125021,28627,398,-0.64,31
342773,3125021,27973,3350,0.43,31
332453,3124901,29219,6385,-1.24,32
333653,3124901,29219,5185,-0.92,55
333773,3124901,29219,5065,-1.19,43
333893,3124901,29219,4945,-1.23,50
334493,3124901,29219,4345,-1.00,69
334613,3124901,29219,4225,-0.78,77
334733,3124901,29219,4105,-0.67,53
334853,3124901,29219,3985,-0.74,35
335213,3124901,29219,3626,-0.62,55
336653,3124901,29219,2186,-0.29,37
336893,3124901,29219,1946,-0.73,53
337493,3124901,29219,1346,-0.67,61
337613,3124901,29219,1226,-0.50,27
337973,3124901,29219,867,29.76,26
338213,3124901,29219,627,-0.29,61
333533,3124781,29219,5308,-1.16,35
333893,3124781,29219,4948,-0.90,80
334013,3124781,29219,4828,9.64,62
334133,3124781,29219,4708,-0.81,67
334373,3124781,29219,4468,-0.90,72
334493,3124781,29219,4349,-0.70,73
334613,3124781,29219,4229,-0.76,78
335093,3124781,29219,3749,-0.63,72
336173,3124781,29219,2671,-0.83,40
336293,3124781,29219,2551,-0.73,56
336533,3124781,29219,2312,4.50,39
336653,3124781,29219,2192,-0.76,62
336893,3124781,29219,1953,-0.71,52
337613,3124781,29219,1237,-0.63,52
338213,3124781,29219,649,-0.53,73
338333,3124781,29219,534,-0.24,59
332573,3124661,29219,6272,-1.36,32
332693,3124661,29219,6152,-6.78,48
332933,3124661,29219,5912,-1.01,41
333293,3124661,29219,5553,-0.94,63
333653,3124661,29219,5193,-0.68,40
333893,3124661,29219,4954,-0.79,72
334013,3124661,29219,4834,-0.75,63
334253,3124661,29219,4594,-0.83,64
334613,3124661,29219,4235,-0.72,74
336173,3124661,29219,2681,-0.59,71
336293,3124661,29219,2562,1.65,66
336413,3124661,29219,2443,-0.83,77
336533,3124661,29219,2324,-0.88,43
337373,3124661,29219,1494,-0.34,47
338093,3124661,29641,778,-0.48,63
338333,3124661,29641,539,-0.69,36
338813,3124661,29641,87,-2.32,28
342893,3124661,27973,3570,-0.21,27
332693,3124541,29219,6159,-1.16,74
332933,3124541,29219,5920,-0.93,68
333893,3124541,29219,4962,-1.00,84
334013,3124541,29219,4843,-0.86,74
334253,3124541,29219,4604,-1.17,50
334973,3124541,29219,3887,-0.65,55
