x,y,chainage_m,dist_m,dh_m,reliability
339773,3126381,27274,199,-0.36,31
338973,3126301,27406,586,0.05,26
339533,3126301,27406,41,-21.90,16
339853,3126301,27551,251,0.51,19
338733,3126221,27828,833,0.30,38
338973,3126221,27406,596,15.02,15
338973,3126141,27828,580,0.10,46
338253,3126061,28797,1048,0.23,61
338973,3126061,27828,562,0.31,36
339613,3126061,27696,64,5.38,33
338173,3125981,28797,1053,-0.21,70
338333,3125981,28797,935,0.10,53
339373,3125981,27828,155,0.37,15
344013,3125981,25097,3853,15.99,44
344093,3125981,25097,3921,25.68,35
344173,3125981,25097,3989,0.44,22
338093,3125901,28797,1071,0.32,38
338253,3125901,28797,941,-0.12,47
338333,3125901,28797,880,-0.39,30
339213,3125901,28131,281,-0.28,14
342893,3125901,25399,2973,0.66,64
342973,3125901,25399,3035,0.30,26
343293,3125901,25399,3291,0.74,35
343453,3125901,25399,3422,0.40,34
343853,3125901,25399,3762,0.37,16
343933,3125901,25097,3830,0.25,14
337933,3125821,28797,1171,-7.06,29
338253,3125821,28797,893,-2.38,22
338893,3125821,28458,468,22.57,13
339053,3125821,28288,361,-0.17,50
339773,3125821,27973,247,-0.27,18
342893,3125821,26016,3016,0.48,39
343213,3125821,25399,3274,0.73,30
343773,3125821,25399,3735,0.34,69
343853,3125821,25399,3803,7.33,20
343933,3125821,25399,3871,0.23,42
344013,3125821,25399,3940,0.71,68
344253,3125821,25097,4142,0.53,39
337453,3125741,29099,1538,-0.34,53
337533,3125741,29099,1466,-0.37,58
337613,3125741,29099,1395,-0.42,26
337693,3125741,29099,1325,0.12,43
337933,3125741,29099,1125,-0.26,34
338413,3125741,28797,717,0.00,42
339133,3125741,28288,250,-0.41,16
339213,3125741,28288,186,-3.84,13
340973,3125741,27551,1435,-0.05,17
341773,3125741,26016,2177,-7.63,18
342493,3125741,26016,2722,0.70,37
342813,3125741,26016,2988,0.25,25
343053,3125741,26016,3194,1.30,30
343133,3125741,25399,3260,0.44,71
343293,3125741,25399,3386,0.61,41
343373,3125741,25399,3449,0.25,29
343533,3125741,25399,3579,0.90,43
343613,3125741,25399,3645,0.43,58
344013,3125741,25399,3981,0.41,15
344173,3125741,25399,4119,0.90,46
337533,3125661,29099,1431,-0.29,64
337693,3125661,29099,1287,19.19,28
337933,3125661,29099,1079,-0.49,48
340973,3125661,27973,1458,0.77,15
341853,3125661,26016,2290,0.52,41
342253,3125661,26016,2582,0.30,31
342333,3125661,26016,2643,0.13,37
342413,3125661,26016,2706,0.60,64
342493,3125661,26016,2769,0.10,69
342653,3125661,26016,2899,0.24,20
342813,3125661,26016,3031,-24.17,33
342973,3125661,26016,3166,0.50,62
343053,3125661,26016,3235,0.42,36
343133,3125661,26016,3304,0.86,13
343213,3125661,25399,3373,0.85,31
343373,3125661,25399,3498,-4.21,34
343453,3125661,25399,3561,0.82,44
343533,3125661,25399,3626,0.92,12
343693,3125661,25399,3756,0.39,55
343853,3125661,25399,3888,1.26,37
343933,3125661,25399,3955,0.47,79
344013,3125661,25399,4023,6.87,23
344253,3125661,25399,4228,6.41,19
336493,3125581,29099,2399,-0.18,18
336573,3125581,29099,2321,-0.25,43
336653,3125581,29099,2243,-0.12,65
336813,3125581,29099,2088,0.03,32
336893,3125581,29099,2010,0.12,31
336973,3125581,29099,1933,-0.49,38
337213,3125581,29099,1702,-0.25,79
337373,3125581,29099,1550,-0.25,44
337533,3125581,29099,1400,9.38,17
337613,3125581,29099,1326,0.03,28
338093,3125581,29099,901,-0.36,20
338653,3125581,28797,429,-0.06,20
342333,3125581,26016,2694,3.28,60
342413,3125581,26016,2756,0.57,36
342493,3125581,26016,2818,0.18,64
342733,3125581,26016,3011,8.13,65
342973,3125581,26016,3209,0.49,37
343053,3125581,26016,3277,0.45,58
343133,3125581,26016,3345,0.52,58
343293,3125581,26016,3482,37.21,23
344013,3125581,25399,4066,0.86,57
336653,3125501,29099,2227,-0.46,55
336733,3125501,29099,2148,-0.37,52
336813,3125501,29099,2070,21.37,29
336973,3125501,29099,1913,-2.10,18
337053,3125501,29099,1836,-1.27,53
337373,3125501,29099,1526,-0.07,37
337533,3125501,29099,1373,-0.26,25
337693,3125501,29099,1222,0.09,43
337853,3125501,29099,1074,-0.46,17
338733,3125501,28797,317,40.92,14
338893,3125501,28797,210,0.06,23
338973,3125501,28627,186,-0.43,14
339213,3125501,28458,17,-4.56,25
339373,3125501,28288,115,0.09,51
340013,3125501,27973,600,-0.26,26
341853,3125501,27551,2346,0.64,45
341933,3125501,27551,2422,0.18,49
342013,3125501,27551,2499,-5.90,24
342253,3125501,26016,2687,0.42,43
342573,3125501,26016,2931,-6.17,22
342733,3125501,26016,3058,-8.74,17
342813,3125501,26016,3122,0.55,60
343053,3125501,26016,3320,0.59,24
343213,3125501,26016,3455,0.70,47
343613,3125501,25399,3786,0.38,67
343693,3125501,25399,3849,0.20,51
343773,3125501,25399,3914,0.38,45
343853,3125501,25399,3979,0.58,58
343933,3125501,25399,4044,0.50,46
344253,3125501,25399,4311,0.48,59
332413,3125421,29099,6435,-33.89,46
332653,3125421,29099,6195,-0.53,62
335053,3125421,29099,3801,-0.86,19
335213,3125421,29099,3642,-0.35,41
335373,3125421,29099,3482,-0.31,70
335533,3125421,29099,3323,0.42,38
336333,3125421,29099,2529,-0.51,23
336813,3125421,29099,2055,18.08,14
336973,3125421,29099,1897,-0.02,53
337693,3125421,29099,1197,-0.02,47
337933,3125421,29099,969,0.23,22
338333,3125421,29099,613,0.23,16
338413,3125421,29099,549,0.33,25
338573,3125421,28942,422,-11.17,21
338653,3125421,28797,352,-0.91,38
338733,3125421,28797,277,0.01,42
338813,3125421,28797,205,-0.18,21
339213,3125421,28458,74,0.26,26
339293,3125421,28458,97,-0.20,49
340093,3125421,27973,712,0.36,23
342013,3125421,27973,2522,0.54,63
342413,3125421,26016,2860,0.03,31
342573,3125421,26016,2981,0.68,42
342813,3125421,26016,3169,0.43,62
342893,3125421,26016,3234,0.46,19
342973,3125421,26016,3299,0.18,25
