chainage_m,Rc_m,W_m,outer_bank,dh_m,v_ms,v_lo,v_hi,Froude,flags
11800,1018,208,R,27.8,36.6,19.8,60.1,1.57,-
12400,1250,240,L,20.7,32.5,3.7,63.6,1.20,void-DEM
12600,2841,296,L,69.3,80.8,49.0,126.3,2.55,"void-DEM,Fr-outside-validated-range"
12800,900,224,L,-20.5,,,,,dh<=0 (no superelev signal)
23000,2011,64,R,36.6,106.2,62.9,168.0,7.34,Fr-outside-validated-range
23200,3952,104,L,-83.3,,,,,dh<=0 (no superelev signal)
23400,1001,152,L,-72.8,,,,,dh<=0 (no superelev signal)
23600,3890,152,L,-0.3,,,,,dh<=0 (no superelev signal)
23800,554,400,R,-78.9,,,,,dh<=0 (no superelev signal)
24000,352,152,R,118.7,51.9,36.0,74.4,1.92,-
24200,1290,144,R,92.1,90.0,61.3,130.8,3.87,Fr-outside-validated-range
24600,1956,280,L,29.0,44.6,24.5,72.9,2.08,-
24800,1124,64,R,48.7,91.6,57.8,140.2,4.15,Fr-outside-validated-range
25000,2076,64,L,-35.1,,,,,dh<=0 (no superelev signal)
25200,563,232,L,-26.4,,,,,dh<=0 (no superelev signal)
25400,1842,48,L,-42.8,,,,,dh<=0 (no superelev signal)
25800,1208,240,R,50.8,50.1,27.7,81.7,1.95,void-DEM
26000,937,96,L,-83.8,,,,,dh<=0 (no superelev signal)
27200,694,248,R,33.0,30.1,17.3,48.3,1.19,-
27400,1087,168,R,44.5,53.1,32.9,82.1,2.36,-
27600,1685,176,L,-64.8,,,,,dh<=0 (no superelev signal)
28000,615,120,L,4.9,15.8,3.7,40.6,0.80,-
28400,1175,136,L,-46.8,,,,,dh<=0 (no superelev signal)
28600,2363,128,L,-42.8,,,,,dh<=0 (no superelev signal)
28800,692,200,R,46.6,39.7,24.9,61.1,1.54,-
29200,503,40,R,17.7,46.7,18.2,83.5,1.95,-
29400,1871,168,L,-122.2,,,,,dh<=0 (no superelev signal)
29800,910,88,R,70.0,84.3,55.9,124.9,3.22,Fr-outside-validated-range
30200,1140,120,L,-13.0,,,,,dh<=0 (no superelev signal)
30400,4852,40,R,16.6,140.4,17.9,291.7,5.59,"void-DEM,Fr-outside-validated-range"
31000,2832,576,R,304.5,121.2,84.7,172.6,2.38,void-DEM
31200,727,568,L,72.3,30.1,17.3,48.4,0.73,void-DEM
31400,503,400,L,-418.3,,,,,dh<=0 (no superelev signal)
31600,1842,472,L,-158.5,,,,,dh<=0 (no superelev signal)
31800,1967,224,R,-149.1,,,,,dh<=0 (no superelev signal)
32000,1843,616,R,-40.4,,,,,dh<=0 (no superelev signal)
32200,3577,728,R,57.8,52.8,30.5,84.5,1.03,void-DEM
32400,576,528,R,-188.7,,,,,dh<=0 (no superelev signal)
32600,755,600,R,44.6,23.5,12.3,39.1,0.47,"void-DEM,Fr-outside-validated-range"
32800,1782,544,L,59.4,43.7,28.4,65.6,0.97,-
33200,660,224,R,48.8,37.6,20.4,61.6,1.42,void-DEM
33600,526,192,L,-0.0,,,,,dh<=0 (no superelev signal)
33800,3926,168,L,10.0,47.8,7.9,98.3,2.10,-
34200,1380,160,R,17.9,38.9,15.3,69.3,1.77,-
34400,2046,160,L,-19.4,,,,,dh<=0 (no superelev signal)
35400,2358,192,L,14.6,41.9,5.7,90.4,1.70,void-DEM
35600,1136,136,L,45.7,61.2,38.2,94.3,3.09,Fr-outside-validated-range
35800,4127,192,R,-66.6,,,,,dh<=0 (no superelev signal)
36200,864,192,L,57.8,50.5,32.7,76.0,1.85,-
38800,264,88,L,4.4,11.4,2.8,30.6,0.71,-
39400,526,176,R,-5.4,,,,,dh<=0 (no superelev signal)
39800,425,248,L,-0.7,,,,,dh<=0 (no superelev signal)
40800,4040,120,R,-16.4,,,,,dh<=0 (no superelev signal)
41200,927,184,L,43.8,46.6,24.2,77.7,1.88,void-DEM
41400,1158,232,L,-20.8,,,,,dh<=0 (no superelev signal)
41800,3781,176,L,-0.7,,,,,dh<=0 (no superelev signal)
42000,1203,216,L,-3.3,,,,,dh<=0 (no superelev signal)
43000,374,104,L,-73.9,,,,,dh<=0 (no superelev signal)
43600,1527,216,R,-56.3,,,,,dh<=0 (no superelev signal)
43800,2659,144,R,-68.3,,,,,dh<=0 (no superelev signal)
44000,740,216,R,-67.0,,,,,dh<=0 (no superelev signal)
45200,777,96,L,-27.8,,,,,dh<=0 (no superelev signal)
47000,760,136,L,31.7,41.7,17.0,73.9,1.46,void-DEM
48000,533,184,L,17.9,22.6,2.8,49.4,0.85,void-DEM
48200,2113,152,L,43.0,76.6,39.3,128.2,3.33,"void-DEM,Fr-outside-validated-range"
49800,1963,80,R,37.2,94.7,44.5,162.6,3.60,"void-DEM,Fr-outside-validated-range"
50400,3972,168,R,17.5,63.8,7.9,140.5,2.15,void-DEM
