chainage_m,x,y,thalweg_m,trim_L_m,h_L_m,d_L_m,void_L,nobs_L,trim_R_m,h_R_m,d_R_m,void_R,nobs_R
200.0,354206.3714285714,3128245.0285714287,5029.224,nan,nan,nan,0,0,nan,nan,nan,0,0
400.0,354064.9428571428,3128386.4571428574,4835.048,nan,nan,nan,0,0,nan,nan,nan,0,0
600.0,353988.4976744186,3128554.297674419,4694.4077,nan,nan,nan,0,0,nan,nan,nan,0,0
800.0,353969.22857142857,3128722.1714285715,4565.596,nan,nan,nan,0,0,nan,nan,nan,0,0
1000.0,354066.3714285714,3128872.1714285715,4413.8955,nan,nan,nan,0,0,nan,nan,nan,0,0
1200.0,354207.8,3129013.6,4318.1978,nan,nan,nan,0,0,nan,nan,nan,0,0
1400.0,354197.8,3129192.6,4224.677,nan,nan,nan,0,0,nan,nan,nan,0,0
1600.0,354257.8,3129367.6,4101.608,nan,nan,nan,0,0,nan,nan,nan,0,0
1800.0,354374.311627907,3129517.088372093,4054.853,nan,nan,nan,0,0,nan,nan,nan,0,0
2000.0,354317.8,3129693.6,4016.982,nan,nan,nan,0,0,nan,nan,nan,0,0
2200.0,354176.3714285714,3129835.0285714287,3973.755,nan,nan,nan,0,0,nan,nan,nan,0,0
2400.0,354034.9428571428,3129976.4571428574,3902.3308,nan,nan,nan,0,0,nan,nan,nan,0,0
2600.0,354017.10232558136,3130144.297674419,3792.3953,nan,nan,nan,0,0,nan,nan,nan,0,0
2800.0,354036.3714285714,3130312.1714285715,3741.032,nan,nan,nan,0,0,nan,nan,nan,0,0
3000.0,354047.8,3130482.6,3709.1475,nan,nan,nan,0,0,nan,nan,nan,0,0
3200.0,354047.8,3130657.6,3698.0874,nan,nan,nan,0,0,nan,nan,nan,0,0
3400.0,353924.9428571428,3130806.4571428574,3675.018,nan,nan,nan,0,0,nan,nan,nan,0,0
3600.0,353825.9395348837,3130965.4604651164,3661.8506,nan,nan,nan,0,0,nan,nan,nan,0,0
3800.0,353684.311627907,3131107.088372093,3632.8623,nan,nan,nan,0,0,nan,nan,nan,0,0
4000.0,353597.8,3131270.6,3624.9255,nan,nan,nan,0,0,nan,nan,nan,0,0
4200.0,353486.3714285714,3131425.0285714287,3598.9001,nan,nan,nan,0,0,nan,nan,nan,0,0
4400.0,353366.3714285714,3131575.0285714287,3568.0173,nan,nan,nan,0,0,nan,nan,nan,0,0
4600.0,353237.8,3131721.6,3532.2825,nan,nan,nan,0,0,nan,nan,nan,0,0
4800.0,353147.8,3131884.6,3499.3342,nan,nan,nan,0,0,nan,nan,nan,0,0
5000.0,353027.0857142857,3132034.314285714,3485.6133,nan,nan,nan,0,0,nan,nan,nan,0,0
5200.0,352927.8,3132193.6,3477.9062,nan,nan,nan,0,0,nan,nan,nan,0,0
5400.0,352817.8,3132347.6,3459.945,nan,nan,nan,0,0,nan,nan,nan,0,0
5600.0,352729.9428571428,3132511.4571428574,3446.1936,nan,nan,nan,0,0,nan,nan,nan,0,0
5800.0,352609.8930232558,3132661.506976744,3439.1292,nan,nan,nan,0,0,nan,nan,nan,0,0
6000.0,352468.2651162791,3132803.134883721,3421.5337,nan,nan,nan,0,0,nan,nan,nan,0,0
6200.0,352297.8,3132873.6,3392.7412,nan,nan,nan,0,0,nan,nan,nan,0,0
6400.0,352132.68372093025,3132958.71627907,3344.5923,nan,nan,nan,0,0,nan,nan,nan,0,0
6600.0,351991.3714285714,3133100.0285714287,3279.1777,nan,nan,nan,0,0,nan,nan,nan,0,0
6800.0,351846.8,3133233.6,3227.5356,nan,nan,nan,0,0,nan,nan,nan,0,0
7000.0,351767.8,3133389.6,3183.9006,nan,nan,nan,0,0,nan,nan,nan,0,0
7200.0,351857.8,3133552.6,3148.131,nan,nan,nan,0,0,nan,nan,nan,0,0
7400.0,351787.8,3133723.6,3111.761,nan,nan,nan,0,0,nan,nan,nan,0,0
7600.0,351688.51428571425,3133882.885714286,3081.8562,nan,nan,nan,0,0,nan,nan,nan,0,0
7800.0,351557.8,3134028.6,3047.559,nan,nan,nan,0,0,nan,nan,nan,0,0
8000.0,351448.2651162791,3134183.134883721,3016.4292,nan,nan,nan,0,0,nan,nan,nan,0,0
8200.0,351437.8,3134378.6,2992.6152,nan,nan,nan,0,0,nan,nan,nan,0,0
8400.0,351527.8,3134541.6,2960.1128,nan,nan,nan,0,0,nan,nan,nan,0,0
8600.0,351557.8,3134728.6,2931.6077,nan,nan,nan,0,0,nan,nan,nan,0,0
8800.0,351525.65714285715,3134915.742857143,2901.404,nan,nan,nan,0,0,nan,nan,nan,0,0
9000.0,351374.8,3135033.6,2875.169,nan,nan,nan,0,0,nan,nan,nan,0,0
9200.0,351186.8,3135003.6,2854.023,nan,nan,nan,0,0,nan,nan,nan,0,0
9400.0,350999.8,3135033.6,2828.6538,nan,nan,nan,0,0,nan,nan,nan,0,0
9600.0,350819.22857142857,3135022.1714285715,2810.2864,nan,nan,nan,0,0,nan,nan,nan,0,0
9800.0,350623.8,3135033.6,2791.4304,nan,nan,nan,0,0,nan,nan,nan,0,0
10000.0,350448.51428571425,3135092.885714286,2768.832,nan,nan,nan,0,0,nan,nan,nan,0,0
10200.0,350261.8,3135123.6,2744.2092,nan,nan,nan,0,0,nan,nan,nan,0,0
10400.0,350069.22857142857,3135142.1714285715,2717.9685,nan,nan,nan,0,0,nan,nan,nan,0,0
10600.0,349909.9428571428,3135241.4571428574,2714.327,nan,nan,nan,0,0,nan,nan,nan,0,0
10800.0,349748.8,3135273.6,2682.9792,nan,nan,nan,0,0,nan,nan,nan,0,0
11000.0,349574.9428571428,3135336.4571428574,2665.883,nan,nan,nan,0,0,nan,nan,nan,0,0
11200.0,349385.8,3135363.6,2649.673,nan,nan,nan,0,0,nan,nan,nan,0,0
11400.0,349210.8,3135423.6,2631.9573,nan,nan,nan,0,0,nan,nan,nan,0,0
11600.0,349022.8,3135453.6,2634.6555,2642.5813,7.9257812,24.0,1,4,nan,nan,nan,0,30
11800.0,348833.3813953488,3135478.018604651,2602.0896,2643.5051,41.415527,104.0,0,14,2671.326,69.23633,104.0,0,18
12000.0,348659.8,3135423.6,2582.0913,nan,nan,nan,0,43,2689.449,107.357666,216.0,0,14
12200.0,348472.8,3135393.6,2555.092,2600.58,45.488037,64.0,0,3,2636.2832,81.19116,120.0,0,8
12400.0,348297.8,3135333.6,2549.0818,2634.7793,85.69751,104.0,1,11,2614.104,65.02222,136.0,0,18
12600.0,348109.8,3135303.6,2518.8652,2656.123,137.25781,144.0,0,23,2586.8308,67.965576,152.0,1,23
12800.0,347909.8,3135303.6,2497.4304,2555.144,57.713623,96.0,0,7,2575.6565,78.226074,128.0,0,15
13000.0,347729.9428571428,3135351.4571428574,2445.9888,nan,nan,nan,0,0,2556.337,110.348145,136.0,1,19
13200.0,347546.8,3135333.6,2434.1711,2562.1304,127.95923,80.0,1,15,nan,nan,nan,0,40
13400.0,347346.8,3135333.6,2411.7876,2447.404,35.616455,32.0,0,8,nan,nan,nan,0,21
13600.0,347171.8,3135333.6,2384.0718,nan,nan,nan,0,3,nan,nan,nan,0,4
13800.0,346984.8,3135303.6,2370.284,nan,nan,nan,0,0,nan,nan,nan,0,0
14000.0,346796.8,3135273.6,2348.535,nan,nan,nan,0,0,nan,nan,nan,0,0
14200.0,346633.8,3135183.6,2333.041,nan,nan,nan,0,0,nan,nan,nan,0,0
14400.0,346476.3714285714,3135082.1714285715,2318.7332,nan,nan,nan,0,0,nan,nan,nan,0,0
14600.0,346334.9428571428,3134940.742857143,2301.7952,nan,nan,nan,0,0,nan,nan,nan,0,0
14800.0,346183.8,3134823.6,2283.1057,nan,nan,nan,0,0,nan,nan,nan,0,0
15000.0,346007.8,3134823.6,2273.365,nan,nan,nan,0,0,nan,nan,nan,0,0
15200.0,345820.8,3134793.6,2255.952,nan,nan,nan,0,0,nan,nan,nan,0,0
15400.0,345645.8,3134793.6,2248.1345,nan,nan,nan,0,0,nan,nan,nan,0,0
15600.0,345457.8,3134763.6,2236.142,nan,nan,nan,0,0,nan,nan,nan,0,0
15800.0,345270.8,3134733.6,2222.6846,nan,nan,nan,0,0,nan,nan,nan,0,0
16000.0,345125.2418604651,3134601.0418604654,2221.0923,nan,nan,nan,0,0,nan,nan,nan,0,0
16200.0,344957.8,3134523.6,2219.4773,nan,nan,nan,0,0,nan,nan,nan,0,0
16400.0,344794.8,3134493.6,2185.8206,nan,nan,nan,0,0,nan,nan,nan,0,0
16600.0,344639.66046511626,3134385.4604651164,2174.424,nan,nan,nan,0,0,nan,nan,nan,0,0
16800.0,344498.03255813953,3134243.8325581397,2165.5051,nan,nan,nan,0,0,nan,nan,nan,0,0
17000.0,344399.22857142857,3134085.0285714287,2145.4326,nan,nan,nan,0,0,nan,nan,nan,0,0
17200.0,344357.8,3133901.6,2141.5764,nan,nan,nan,0,0,nan,nan,nan,0,0
17400.0,344387.10232558136,3133714.297674419,2155.476,nan,nan,nan,0,0,nan,nan,nan,0,0
17600.0,344387.8,3133514.6,2124.6274,nan,nan,nan,0,0,nan,nan,nan,0,0
17800.0,344417.8,3133351.6,2159.186,nan,nan,nan,0,0,nan,nan,nan,0,0
18000.0,344359.8930232558,3133175.693023256,2145.6587,nan,nan,nan,0,0,nan,nan,nan,0,0
18200.0,344352.21860465116,3132999.181395349,2139.4607,nan,nan,nan,0,0,nan,nan,nan,0,0
18400.0,344357.8,3132826.6,2134.2537,nan,nan,nan,0,0,nan,nan,nan,0,0
18600.0,344267.8,3132663.6,2103.0085,nan,nan,nan,0,0,nan,nan,nan,0,0
18800.0,344292.21860465116,3132478.018604651,2090.6292,nan,nan,nan,0,0,nan,nan,nan,0,0
19000.0,344169.8,3132333.6,2076.484,nan,nan,nan,0,0,nan,nan,nan,0,0
19200.0,344027.8,3132205.6,2089.8198,nan,nan,nan,0,0,nan,nan,nan,0,0
19400.0,343901.52093023254,3132057.3209302328,2078.6194,nan,nan,nan,0,0,nan,nan,nan,0,0
19600.0,343751.52093023254,3131937.3209302328,2045.0889,nan,nan,nan,0,0,nan,nan,nan,0,0
19800.0,343609.9428571428,3131795.742857143,2033.5945,nan,nan,nan,0,0,nan,nan,nan,0,0
20000.0,343448.8,3131703.6,2018.4907,nan,nan,nan,0,0,nan,nan,nan,0,0
20200.0,343300.8232558139,3131576.623255814,2011.7167,nan,nan,nan,0,0,nan,nan,nan,0,0
20400.0,343159.22857142857,3131435.0285714287,1996.2682,nan,nan,nan,0,0,nan,nan,nan,0,0
20600.0,343018.2651162791,3131294.0651162793,1976.3066,nan,nan,nan,0,0,nan,nan,nan,0,0
20800.0,342876.63720930234,3131152.4372093026,1962.0774,nan,nan,nan,0,0,nan,nan,nan,0,0
21000.0,342799.1953488372,3130984.995348837,1985.9797,nan,nan,nan,0,0,nan,nan,nan,0,0
21200.0,342742.0857142857,3130807.885714286,1935.6198,nan,nan,nan,0,0,nan,nan,nan,0,0
21400.0,342643.51428571425,3130649.314285714,1989.5992,nan,nan,nan,0,0,nan,nan,nan,0,0
21600.0,342501.9860465116,3130507.7860465115,1919.1915,nan,nan,nan,0,0,nan,nan,nan,0,0
21800.0,342377.8,3130358.6,1898.7068,nan,nan,nan,0,0,nan,nan,nan,0,0
22000.0,342222.8,3130258.6,1889.9718,nan,nan,nan,0,0,nan,nan,nan,0,0
22200.0,342081.288372093,3130117.088372093,1865.9309,nan,nan,nan,0,0,nan,nan,nan,0,0
22400.0,341939.9428571428,3129975.742857143,1867.0154,nan,nan,nan,0,0,nan,nan,nan,0,0
22600.0,341772.0857142857,3129957.885714286,1853.7496,nan,nan,nan,0,0,nan,nan,nan,0,0
22800.0,341622.0857142857,3129837.885714286,1900.5165,nan,nan,nan,0,0,nan,nan,nan,0,0
23000.0,341480.59069767443,3129696.3906976744,1857.5907,nan,nan,nan,0,0,nan,nan,nan,0,0
23200.0,341359.9428571428,3129545.742857143,1848.7872,nan,nan,nan,0,0,nan,nan,nan,0,0
23400.0,341237.8,3129396.6,1818.0037,nan,nan,nan,0,0,nan,nan,nan,0,0
23600.0,341080.8232558139,3129296.623255814,1812.5356,nan,nan,nan,0,0,nan,nan,nan,0,0
23800.0,340922.0857142857,3129197.885714286,1808.0947,nan,nan,nan,0,0,nan,nan,nan,0,0
24000.0,340787.8,3129053.6,1794.7074,nan,nan,nan,0,0,nan,nan,nan,0,0
24200.0,340787.8,3128853.6,1788.4991,nan,nan,nan,0,0,nan,nan,nan,0,0
24400.0,340817.8,3128665.6,1778.9312,nan,nan,nan,0,0,nan,nan,nan,0,0
24600.0,340780.8232558139,3128500.576744186,1772.3492,nan,nan,nan,0,0,nan,nan,nan,0,0
24800.0,340737.8,3128323.6,1775.0771,nan,nan,nan,0,0,nan,nan,nan,0,0
25000.0,340727.8,3128127.6,1754.6267,nan,nan,nan,0,0,nan,nan,nan,0,0
25200.0,340697.8,3127965.6,1746.92,nan,nan,nan,0,0,nan,nan,nan,0,0
25400.0,340607.0857142857,3127802.885714286,1738.0448,nan,nan,nan,0,0,nan,nan,nan,0,0
25600.0,340487.0857142857,3127652.885714286,1731.6473,nan,nan,nan,0,0,nan,nan,nan,0,0
25800.0,340345.47441860463,3127511.2744186046,1723.619,nan,nan,nan,0,0,nan,nan,nan,0,0
26000.0,340288.96279069764,3127334.7627906976,1717.9642,nan,nan,nan,0,0,nan,nan,nan,0,0
26200.0,340147.3348837209,3127193.134883721,1706.2577,nan,nan,nan,0,0,nan,nan,nan,0,0
26400.0,339997.0857142857,3127094.314285714,1706.6089,nan,nan,nan,0,0,nan,nan,nan,0,0
26600.0,339855.7069767442,3126991.506976744,1701.243,nan,nan,nan,0,0,nan,nan,nan,0,0
26800.0,339761.3714285714,3126850.0285714287,1693.9032,nan,nan,nan,0,0,nan,nan,nan,0,0
27000.0,339675.65714285715,3126691.4571428574,1690.2574,nan,nan,nan,0,0,nan,nan,nan,0,0
27200.0,339617.8,3126514.6,1684.9913,nan,nan,nan,0,0,nan,nan,nan,0,0
